Latitud,Longitud,Fase,Desplazamiento_m,Deformacion_mm
13.74149,-89.094109,2.5533,-0.01127,-11.2698
13.741496,-89.09337,2.9231,-0.012902,-12.9021
13.741503,-89.09263,3.0873,-0.013627,-13.6266
13.741509,-89.091891,3.2813,-0.014483,-14.4831
13.741515,-89.091151,2.7318,-0.012058,-12.0578
13.741522,-89.090412,2.515,-0.011101,-11.101
13.741528,-89.089672,2.7237,-0.012022,-12.022
13.741534,-89.088933,2.125,-0.009379,-9.3794
13.74154,-89.088193,2.641,-0.011657,-11.6567
13.741547,-89.087454,2.854,-0.012597,-12.597
13.741553,-89.086714,3.4596,-0.01527,-15.2699
13.741559,-89.085975,2.634,-0.011626,-11.626
13.741565,-89.085235,3.0042,-0.01326,-13.26
13.741572,-89.084496,2.5887,-0.011426,-11.4262
13.741578,-89.083756,2.8204,-0.012449,-12.4486
13.741584,-89.083017,2.9703,-0.01311,-13.1102
13.74159,-89.082277,2.8791,-0.012708,-12.7079
13.741597,-89.081538,2.7579,-0.012173,-12.1729
13.741603,-89.080798,2.5284,-0.01116,-11.16
13.741609,-89.080059,1.7791,-0.007853,-7.8528
13.741615,-89.079319,2.1925,-0.009677,-9.6771
13.741622,-89.07858,2.7731,-0.01224,-12.2402
13.741628,-89.07784,2.6465,-0.011681,-11.681
13.741634,-89.077101,2.1705,-0.00958,-9.5802
13.74164,-89.076361,2.2684,-0.010012,-10.0122
13.741647,-89.075622,2.2292,-0.00984,-9.8395
13.741653,-89.074882,2.1648,-0.009555,-9.5549
13.741659,-89.074143,1.9765,-0.008724,-8.7241
13.741665,-89.073403,2.1224,-0.009368,-9.3681
13.741671,-89.072664,2.4152,-0.01066,-10.6601
13.741678,-89.071924,2.2374,-0.009876,-9.8756
13.741684,-89.071185,2.2092,-0.009751,-9.7509
13.74169,-89.070445,2.2392,-0.009884,-9.8836
13.741696,-89.069706,2.1289,-0.009397,-9.3966
13.741702,-89.068966,2.3455,-0.010353,-10.3526
