Latitud,Longitud,Valor_Sentinel,Temp_ERA5_(K),Factor_Error_(%)
1504120.0,307000.0,0.1179,297.94,9.39
1504120.0,308120.0,0.3954,298.08,12.57
1504120.0,309240.0,0.143,298.22,16.04
1504120.0,310360.0,0.1043,298.37,19.68
1504120.0,311480.0,0.0628,298.53,23.42
1504120.0,312600.0,0.0758,298.69,27.16
1504120.0,313720.0,0.3081,298.84,30.8
1504120.0,314840.0,0.2003,298.98,34.25
1504120.0,315960.0,0.1162,299.12,37.42
1504120.0,317080.0,0.1887,299.25,40.49
1504120.0,318200.0,0.2419,299.38,43.71
1504120.0,319320.0,0.1348,299.52,46.99
1504120.0,320440.0,0.2506,299.65,50.22
1504120.0,321560.0,0.207,299.78,53.29
1504120.0,322680.0,0.058,299.9,56.1
1504120.0,323800.0,0.4214,300.0,58.56
1504120.0,324920.0,0.1824,300.09,60.54
1504120.0,326040.0,0.2559,300.15,61.96
1504120.0,327160.0,0.119,300.18,62.7
1504120.0,328280.0,0.0787,300.17,62.58
1504120.0,329400.0,0.1352,300.14,61.71
1504120.0,330520.0,0.0922,300.07,60.26
1504120.0,331640.0,0.1256,300.0,58.41
1504120.0,332760.0,0.1352,299.91,56.32
1504120.0,333880.0,0.122,299.82,54.18
1504120.0,335000.0,0.0884,299.74,52.16
1504120.0,336120.0,0.2197,299.66,50.43
1504120.0,337240.0,0.0776,299.61,49.16
1504120.0,338360.0,0.1335,299.58,48.42
1504120.0,339480.0,0.0683,299.55,47.83
1504120.0,340600.0,0.0764,299.53,47.36
1504120.0,341720.0,0.1744,299.52,47.02
1504120.0,342840.0,0.253,299.51,46.84
1504120.0,343960.0,0.148,299.51,46.82
1504120.0,345080.0,0.2279,299.52,46.97
1504120.0,346200.0,0.0798,299.53,47.31
1504120.0,347320.0,0.1452,299.56,47.86
1504120.0,348440.0,0.1555,299.59,48.63
1504120.0,349560.0,0.1279,299.63,49.62
1504120.0,350680.0,0.1302,299.68,50.83
1504120.0,351800.0,0.1163,299.74,52.25
1504120.0,352920.0,0.1349,299.81,53.86
1504120.0,354040.0,0.0926,299.88,55.63
1504120.0,355160.0,0.0591,299.96,57.57
1504120.0,356280.0,0.0833,300.05,59.65
1504120.0,357400.0,0.0627,300.14,61.85
1504120.0,358520.0,0.161,300.24,64.17
1504120.0,359640.0,0.1725,300.34,66.62
1504120.0,360760.0,0.1958,300.47,69.62
1504120.0,361880.0,0.1596,300.61,73.16
1504120.0,363000.0,0.1776,300.78,77.03
1504120.0,364120.0,0.1167,300.94,81.02
1504120.0,365240.0,0.0844,301.11,84.92
1504120.0,366360.0,0.1725,301.26,88.54
1504120.0,367480.0,0.1196,301.39,91.65
1504120.0,368600.0,0.1943,301.49,94.06
1504120.0,369720.0,0.1324,301.55,95.56
1504120.0,370840.0,0.1568,301.57,95.96
1504120.0,371960.0,0.0471,301.54,95.27
1504120.0,373080.0,0.2367,301.48,93.71
1504120.0,374200.0,0.0765,301.38,91.49
1504120.0,375320.0,0.2326,301.27,88.83
1504120.0,376440.0,0.1108,301.15,85.95
1503000.0,304760.0,0.2442,297.81,6.09
1503000.0,305880.0,0.0793,297.9,8.32
1503000.0,307000.0,0.1326,298.01,10.97
1503000.0,308120.0,0.1128,298.14,13.98
1503000.0,309240.0,0.1065,298.27,17.25
1503000.0,310360.0,0.2411,298.42,20.69
1503000.0,311480.0,0.0985,298.56,24.22
1503000.0,312600.0,0.4308,298.71,27.75
1503000.0,313720.0,0.2152,298.86,31.17
1503000.0,314840.0,0.1534,298.99,34.41
1503000.0,315960.0,0.1743,299.12,37.37
1503000.0,317080.0,0.1228,299.24,40.24
1503000.0,318200.0,0.2172,299.36,43.26
1503000.0,319320.0,0.1991,299.49,46.33
1503000.0,320440.0,0.2872,299.62,49.35
1503000.0,321560.0,0.077,299.74,52.21
1503000.0,322680.0,0.1598,299.85,54.81
1503000.0,323800.0,0.1216,299.94,57.05
1503000.0,324920.0,0.0592,300.01,58.82
1503000.0,326040.0,0.1473,300.06,60.02
1503000.0,327160.0,0.0793,300.09,60.55
